Date,Cases - Total,Deaths - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity
04/23/2020,1004,34,30,156,159,166,157,148,90,95,3,457,460,87,346,13,194,84,27,340,0,1,1,4,2,9,7,10,0,8,26,0,12,2,14,6,0,0
04/29/2020,1046,40,43,187,194,208,190,126,41,57,0,514,495,37,489,18,158,91,39,251,0,1,1,3,4,5,9,17,0,19,21,0,16,2,12,10,0,0
05/11/2020,726,37,33,154,145,147,107,81,33,25,1,364,350,12,348,10,108,55,29,176,0,0,1,3,6,3,6,18,0,15,22,0,14,0,15,8,0,0
,25,0,0,2,8,6,6,2,0,0,1,9,15,1,3,0,3,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/15/2020,634,41,45,140,116,107,93,65,42,25,1,324,305,5,198,6,131,54,24,221,0,0,1,1,6,11,10,12,0,13,28,0,15,0,9,15,2,0
03/12/2020,13,0,1,3,4,1,1,0,2,1,0,8,5,0,2,1,1,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/13/2020,11,0,2,2,2,2,2,1,0,0,0,6,5,0,3,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/18/2020,95,1,0,18,25,23,7,15,3,4,0,46,49,0,10,2,45,33,3,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
04/04/2020,407,21,4,50,55,71,85,70,47,25,0,212,193,2,90,17,185,64,13,38,0,0,0,3,4,4,4,6,0,13,8,0,3,0,13,4,1,0
05/02/2020,829,48,39,155,165,155,142,95,52,26,0,398,416,15,334,19,117,72,32,255,0,0,0,1,9,13,11,14,0,19,29,0,11,3,22,11,1,0
05/08/2020,953,42,59,184,186,207,135,104,41,36,1,460,441,52,429,9,106,77,54,278,0,0,0,1,4,13,11,13,0,19,23,0,15,0,16,11,0,0
05/12/2020,831,42,60,141,164,165,116,92,58,33,2,419,385,27,357,8,112,66,27,261,0,0,3,2,4,9,7,17,0,12,30,0,17,2,17,6,0,0
04/17/2020,704,39,5,135,107,140,121,97,51,48,0,317,379,8,243,23,192,79,16,151,0,0,0,2,3,7,13,14,0,12,27,0,10,2,15,11,0,1
04/26/2020,790,46,21,119,108,135,147,105,78,76,1,377,397,16,253,25,122,96,25,269,0,0,0,4,3,13,11,15,0,20,26,0,19,2,20,5,0,0
03/31/2020,377,16,5,45,74,64,73,55,37,24,0,182,193,2,67,11,183,76,9,31,0,0,0,4,1,0,5,6,0,6,10,0,2,0,14,0,0,0
04/03/2020,460,24,3,77,66,93,98,55,39,29,0,242,216,2,119,14,209,66,13,39,0,0,1,2,2,4,6,9,0,12,12,0,3,0,19,2,0,0
04/22/2020,882,45,13,168,163,163,178,115,44,38,0,434,438,10,361,17,182,103,38,181,0,0,3,2,6,14,8,12,0,20,25,0,9,0,26,9,1,0
04/28/2020,847,53,31,175,143,151,144,95,54,53,1,424,404,19,346,19,158,89,51,184,0,0,0,3,4,9,8,29,0,22,31,0,12,5,22,11,0,3
03/29/2020,274,21,2,33,57,45,40,40,40,16,1,133,141,0,49,5,153,50,5,12,0,1,0,1,4,4,6,5,0,4,17,0,2,2,15,2,0,0
05/06/2020,993,44,56,191,183,194,163,106,51,47,2,483,468,42,401,18,129,78,28,339,0,0,1,3,5,11,10,14,0,14,30,0,12,5,13,13,0,1
05/13/2020,867,40,65,171,158,178,139,79,47,30,0,456,406,5,382,7,123,72,18,265,0,0,2,3,4,11,8,12,0,13,27,0,15,4,11,9,1,0
