the_geom,the_geom_webmercator,covid_status,zip_code,count,etl_timestamp
,,POS,19142,527,2020-05-18 17:20:02
,,POS,19140,750,2020-05-18 17:20:02
,,NEG,19113,6,2020-05-18 17:20:02
,,NEG,19102,237,2020-05-18 17:20:02
,,POS,19102,46,2020-05-18 17:20:02
,,NEG,19151,1180,2020-05-18 17:20:02
,,POS,19135,356,2020-05-18 17:20:02
,,NEG,19120,1873,2020-05-18 17:20:02
,,POS,19127,28,2020-05-18 17:20:02
,,POS,19144,666,2020-05-18 17:20:02
,,POS,19104,507,2020-05-18 17:20:02
,,NEG,19147,1401,2020-05-18 17:20:02
,,NEG,19141,1043,2020-05-18 17:20:02
,,NEG,19134,1588,2020-05-18 17:20:02
,,NEG,19104,1649,2020-05-18 17:20:02
,,NEG,19116,851,2020-05-18 17:20:02
,,NEG,19126,646,2020-05-18 17:20:02
,,NEG,19142,1023,2020-05-18 17:20:02
,,NEG,19132,1267,2020-05-18 17:20:02
,,POS,19122,211,2020-05-18 17:20:02
,,NEG,19137,232,2020-05-18 17:20:02
,,POS,19137,39,2020-05-18 17:20:02
,,NEG,19144,1583,2020-05-18 17:20:02
,,POS,19133,355,2020-05-18 17:20:02
,,POS,19146,400,2020-05-18 17:20:02
,,NEG,19125,808,2020-05-18 17:20:02
,,POS,19119,414,2020-05-18 17:20:02
,,NEG,19140,1761,2020-05-18 17:20:02
,,POS,19145,490,2020-05-18 17:20:02
,,NEG,19123,802,2020-05-18 17:20:02
,,NEG,19106,438,2020-05-18 17:20:02
,,NEG,19136,998,2020-05-18 17:20:02
,,NEG,19131,1803,2020-05-18 17:20:02
,,POS,19131,781,2020-05-18 17:20:02
,,NEG,19115,986,2020-05-18 17:20:02
,,NEG,19133,779,2020-05-18 17:20:02
,,POS,19126,453,2020-05-18 17:20:02
,,NEG,19129,429,2020-05-18 17:20:02
,,NEG,19101,25,2020-05-18 17:20:02
,,NEG,19103,806,2020-05-18 17:20:02
,,NEG,19122,722,2020-05-18 17:20:02
,,NEG,19154,908,2020-05-18 17:20:02
,,NEG,19152,966,2020-05-18 17:20:02
,,POS,19124,769,2020-05-18 17:20:02
,,POS,19150,371,2020-05-18 17:20:02
,,POS,19123,263,2020-05-18 17:20:02
,,NEG,19148,1921,2020-05-18 17:20:02
,,NEG,19138,1167,2020-05-18 17:20:02
,,NEG,19114,825,2020-05-18 17:20:02
,,NEG,19143,2843,2020-05-18 17:20:02
,,NEG,19150,928,2020-05-18 17:20:02
,,NEG,19128,1034,2020-05-18 17:20:02
,,POS,19118,148,2020-05-18 17:20:02
,,NEG,19107,877,2020-05-18 17:20:02
,,NEG,19119,1006,2020-05-18 17:20:02
,,POS,19105,7,2020-05-18 17:20:02
,,POS,19141,471,2020-05-18 17:20:02
,,POS,19136,652,2020-05-18 17:20:02
,,NEG,19153,449,2020-05-18 17:20:02
,,POS,19106,54,2020-05-18 17:20:02
,,POS,19152,510,2020-05-18 17:20:02
,,NEG,19105,14,2020-05-18 17:20:02
,,POS,19153,169,2020-05-18 17:20:02
,,NEG,19108,6,2020-05-18 17:20:02
,,NEG,19135,905,2020-05-18 17:20:02
,,NEG,19139,2103,2020-05-18 17:20:02
,,POS,19138,454,2020-05-18 17:20:02
,,NEG,19121,1140,2020-05-18 17:20:02
,,POS,19129,94,2020-05-18 17:20:02
,,POS,19154,372,2020-05-18 17:20:02
,,NEG,19124,1632,2020-05-18 17:20:02
,,POS,19111,877,2020-05-18 17:20:02
,,POS,19149,620,2020-05-18 17:20:02
,,NEG,19111,1865,2020-05-18 17:20:02
,,POS,19148,589,2020-05-18 17:20:02
,,POS,19134,581,2020-05-18 17:20:02
,,POS,19114,375,2020-05-18 17:20:02
,,POS,19147,274,2020-05-18 17:20:02
,,NEG,19197,8,2020-05-18 17:20:02
,,POS,19130,253,2020-05-18 17:20:02
,,POS,19128,283,2020-05-18 17:20:02
,,POS,19139,729,2020-05-18 17:20:02
,,POS,19107,193,2020-05-18 17:20:02
,,POS,19116,531,2020-05-18 17:20:02
,,POS,19120,988,2020-05-18 17:20:02
,,POS,19101,26,2020-05-18 17:20:02
,,POS,19115,649,2020-05-18 17:20:02
,,NEG,19146,1833,2020-05-18 17:20:02
,,NEG,19130,1186,2020-05-18 17:20:02
,,POS,19121,357,2020-05-18 17:20:02
,,POS,19125,177,2020-05-18 17:20:02
,,NEG,19127,156,2020-05-18 17:20:02
,,POS,19103,193,2020-05-18 17:20:02
,,POS,19132,505,2020-05-18 17:20:02
,,NEG,19118,324,2020-05-18 17:20:02
,,POS,19151,501,2020-05-18 17:20:02
,,POS,19143,884,2020-05-18 17:20:02
,,NEG,19149,1174,2020-05-18 17:20:02
,,NEG,19145,1983,2020-05-18 17:20:02
