the_geom,the_geom_webmercator,covid_status,zip_code,count,etl_timestamp
,,NEG,19152,822,2020-05-12 17:20:02
,,NEG,19130,1000,2020-05-12 17:20:02
,,NEG,19128,899,2020-05-12 17:20:02
,,POS,19138,436,2020-05-12 17:20:02
,,POS,19122,190,2020-05-12 17:20:02
,,POS,19149,573,2020-05-12 17:20:02
,,NEG,19147,1180,2020-05-12 17:20:02
,,NEG,19114,733,2020-05-12 17:20:02
,,NEG,19115,876,2020-05-12 17:20:02
,,POS,19124,706,2020-05-12 17:20:02
,,NEG,19154,816,2020-05-12 17:20:02
,,NEG,19131,1537,2020-05-12 17:20:02
,,NEG,19103,691,2020-05-12 17:20:02
,,POS,19143,818,2020-05-12 17:20:02
,,NEG,19105,12,2020-05-12 17:20:02
,,NEG,19104,1361,2020-05-12 17:20:02
,,NEG,19136,848,2020-05-12 17:20:02
,,NEG,19142,818,2020-05-12 17:20:02
,,NEG,19107,742,2020-05-12 17:20:02
,,POS,19130,244,2020-05-12 17:20:02
,,NEG,19116,713,2020-05-12 17:20:02
,,NEG,19141,876,2020-05-12 17:20:02
,,POS,19140,675,2020-05-12 17:20:02
,,POS,19133,323,2020-05-12 17:20:02
,,POS,19152,468,2020-05-12 17:20:02
,,NEG,19150,780,2020-05-12 17:20:02
,,NEG,19137,195,2020-05-12 17:20:02
,,POS,19148,539,2020-05-12 17:20:02
,,POS,19105,6,2020-05-12 17:20:02
,,NEG,19132,1051,2020-05-12 17:20:02
,,POS,19101,26,2020-05-12 17:20:02
,,NEG,19145,1667,2020-05-12 17:20:02
,,NEG,19123,642,2020-05-12 17:20:02
,,NEG,19121,950,2020-05-12 17:20:02
,,POS,19142,497,2020-05-12 17:20:02
,,NEG,19111,1621,2020-05-12 17:20:02
,,POS,19144,624,2020-05-12 17:20:02
,,NEG,19140,1447,2020-05-12 17:20:02
,,POS,19136,610,2020-05-12 17:20:02
,,NEG,19122,595,2020-05-12 17:20:02
,,POS,19127,26,2020-05-12 17:20:02
,,POS,19104,461,2020-05-12 17:20:02
,,NEG,19101,20,2020-05-12 17:20:02
,,POS,19121,333,2020-05-12 17:20:02
,,POS,19131,713,2020-05-12 17:20:02
,,NEG,19149,969,2020-05-12 17:20:02
,,POS,19128,264,2020-05-12 17:20:02
,,NEG,19129,367,2020-05-12 17:20:02
,,POS,19129,92,2020-05-12 17:20:02
,,NEG,19120,1513,2020-05-12 17:20:02
,,POS,19126,442,2020-05-12 17:20:02
,,NEG,19134,1279,2020-05-12 17:20:02
,,POS,19151,467,2020-05-12 17:20:02
,,NEG,19119,837,2020-05-12 17:20:02
,,NEG,19148,1587,2020-05-12 17:20:02
,,POS,19114,336,2020-05-12 17:20:02
,,NEG,19127,129,2020-05-12 17:20:02
,,POS,19125,165,2020-05-12 17:20:02
,,NEG,19143,2317,2020-05-12 17:20:02
,,NEG,19151,991,2020-05-12 17:20:02
,,POS,19150,344,2020-05-12 17:20:02
,,POS,19145,455,2020-05-12 17:20:02
,,NEG,19118,278,2020-05-12 17:20:02
,,NEG,19133,618,2020-05-12 17:20:02
,,POS,19132,480,2020-05-12 17:20:02
,,POS,19115,620,2020-05-12 17:20:02
,,POS,19107,179,2020-05-12 17:20:02
,,POS,19118,147,2020-05-12 17:20:02
,,NEG,19126,534,2020-05-12 17:20:02
,,NEG,19138,993,2020-05-12 17:20:02
,,POS,19147,257,2020-05-12 17:20:02
,,POS,19154,330,2020-05-12 17:20:02
,,NEG,19125,665,2020-05-12 17:20:02
,,POS,19119,394,2020-05-12 17:20:02
,,NEG,19146,1544,2020-05-12 17:20:02
,,NEG,19197,8,2020-05-12 17:20:02
,,NEG,19106,360,2020-05-12 17:20:02
,,POS,19141,429,2020-05-12 17:20:02
,,POS,19134,518,2020-05-12 17:20:02
,,NEG,19135,775,2020-05-12 17:20:02
,,POS,19120,920,2020-05-12 17:20:02
,,POS,19146,380,2020-05-12 17:20:02
,,POS,19102,44,2020-05-12 17:20:02
,,NEG,19139,1525,2020-05-12 17:20:02
,,POS,19111,827,2020-05-12 17:20:02
,,POS,19106,53,2020-05-12 17:20:02
,,POS,19103,181,2020-05-12 17:20:02
,,NEG,19153,393,2020-05-12 17:20:02
,,POS,19135,329,2020-05-12 17:20:02
,,NEG,19102,197,2020-05-12 17:20:02
,,POS,19123,236,2020-05-12 17:20:02
,,NEG,19124,1335,2020-05-12 17:20:02
,,POS,19153,158,2020-05-12 17:20:02
,,POS,19137,34,2020-05-12 17:20:02
,,NEG,19144,1293,2020-05-12 17:20:02
,,POS,19116,497,2020-05-12 17:20:02
,,POS,19139,685,2020-05-12 17:20:02
