the_geom,the_geom_webmercator,covid_status,zip_code,count,etl_timestamp
,,NEG,19111,1469,2020-05-08 17:20:02
,,POS,19144,600,2020-05-08 17:20:02
,,NEG,19140,1279,2020-05-08 17:20:02
,,POS,19136,582,2020-05-08 17:20:02
,,NEG,19122,528,2020-05-08 17:20:02
,,POS,19127,23,2020-05-08 17:20:02
,,POS,19104,441,2020-05-08 17:20:02
,,NEG,19101,18,2020-05-08 17:20:02
,,POS,19121,319,2020-05-08 17:20:02
,,POS,19131,684,2020-05-08 17:20:02
,,NEG,19149,881,2020-05-08 17:20:02
,,NEG,19124,1167,2020-05-08 17:20:02
,,POS,19153,149,2020-05-08 17:20:02
,,POS,19137,33,2020-05-08 17:20:02
,,NEG,19144,1161,2020-05-08 17:20:02
,,POS,19116,477,2020-05-08 17:20:02
,,POS,19139,655,2020-05-08 17:20:02
,,NEG,19152,759,2020-05-08 17:20:02
,,NEG,19130,928,2020-05-08 17:20:02
,,NEG,19128,830,2020-05-08 17:20:02
,,POS,19138,416,2020-05-08 17:20:02
,,POS,19122,175,2020-05-08 17:20:02
,,POS,19149,535,2020-05-08 17:20:02
,,NEG,19147,1043,2020-05-08 17:20:02
,,NEG,19114,684,2020-05-08 17:20:02
,,NEG,19115,821,2020-05-08 17:20:02
,,POS,19124,643,2020-05-08 17:20:02
,,NEG,19154,739,2020-05-08 17:20:02
,,NEG,19131,1384,2020-05-08 17:20:02
,,NEG,19103,602,2020-05-08 17:20:02
,,POS,19143,771,2020-05-08 17:20:02
,,NEG,19105,12,2020-05-08 17:20:02
,,NEG,19104,1201,2020-05-08 17:20:02
,,NEG,19136,786,2020-05-08 17:20:02
,,NEG,19142,722,2020-05-08 17:20:02
,,NEG,19107,651,2020-05-08 17:20:02
,,POS,19130,236,2020-05-08 17:20:02
,,NEG,19116,667,2020-05-08 17:20:02
,,NEG,19141,771,2020-05-08 17:20:02
,,POS,19140,621,2020-05-08 17:20:02
,,POS,19133,294,2020-05-08 17:20:02
,,POS,19152,445,2020-05-08 17:20:02
,,NEG,19150,716,2020-05-08 17:20:02
,,NEG,19137,182,2020-05-08 17:20:02
,,POS,19148,510,2020-05-08 17:20:02
,,POS,19105,6,2020-05-08 17:20:02
,,NEG,19132,949,2020-05-08 17:20:02
,,POS,19101,25,2020-05-08 17:20:02
,,NEG,19145,1490,2020-05-08 17:20:02
,,NEG,19121,831,2020-05-08 17:20:02
,,NEG,19123,597,2020-05-08 17:20:02
,,POS,19128,255,2020-05-08 17:20:02
,,NEG,19129,347,2020-05-08 17:20:02
,,POS,19129,85,2020-05-08 17:20:02
,,NEG,19120,1352,2020-05-08 17:20:02
,,POS,19126,422,2020-05-08 17:20:02
,,NEG,19134,1130,2020-05-08 17:20:02
,,POS,19151,437,2020-05-08 17:20:02
,,NEG,19119,767,2020-05-08 17:20:02
,,NEG,19148,1376,2020-05-08 17:20:02
,,POS,19114,324,2020-05-08 17:20:02
,,NEG,19127,117,2020-05-08 17:20:02
,,POS,19125,162,2020-05-08 17:20:02
,,NEG,19143,2022,2020-05-08 17:20:02
,,NEG,19151,847,2020-05-08 17:20:02
,,POS,19150,347,2020-05-08 17:20:02
,,POS,19145,434,2020-05-08 17:20:02
,,NEG,19118,257,2020-05-08 17:20:02
,,NEG,19133,537,2020-05-08 17:20:02
,,POS,19132,458,2020-05-08 17:20:02
,,POS,19115,593,2020-05-08 17:20:02
,,POS,19107,139,2020-05-08 17:20:02
,,POS,19118,145,2020-05-08 17:20:02
,,NEG,19138,892,2020-05-08 17:20:02
,,NEG,19126,483,2020-05-08 17:20:02
,,POS,19147,239,2020-05-08 17:20:02
,,POS,19154,297,2020-05-08 17:20:02
,,NEG,19125,600,2020-05-08 17:20:02
,,POS,19119,372,2020-05-08 17:20:02
,,NEG,19146,1383,2020-05-08 17:20:02
,,NEG,19197,8,2020-05-08 17:20:02
,,NEG,19106,329,2020-05-08 17:20:02
,,POS,19141,412,2020-05-08 17:20:02
,,POS,19134,486,2020-05-08 17:20:02
,,NEG,19135,712,2020-05-08 17:20:02
,,POS,19120,860,2020-05-08 17:20:02
,,POS,19146,368,2020-05-08 17:20:02
,,POS,19102,43,2020-05-08 17:20:02
,,NEG,19139,1284,2020-05-08 17:20:02
,,POS,19111,783,2020-05-08 17:20:02
,,POS,19106,48,2020-05-08 17:20:02
,,POS,19103,170,2020-05-08 17:20:02
,,NEG,19153,347,2020-05-08 17:20:02
,,POS,19135,305,2020-05-08 17:20:02
,,NEG,19102,186,2020-05-08 17:20:02
,,POS,19123,225,2020-05-08 17:20:02
,,POS,19142,462,2020-05-08 17:20:02
