the_geom,the_geom_webmercator,covid_status,zip_code,count,etl_timestamp
,,NEG,19152,551,2020-04-26 17:20:01
,,NEG,19130,659,2020-04-26 17:20:01
,,NEG,19128,594,2020-04-26 17:20:01
,,POS,19138,287,2020-04-26 17:20:01
,,POS,19122,125,2020-04-26 17:20:01
,,POS,19149,351,2020-04-26 17:20:01
,,NEG,19147,872,2020-04-26 17:20:01
,,NEG,19114,483,2020-04-26 17:20:01
,,NEG,19115,543,2020-04-26 17:20:01
,,POS,19124,457,2020-04-26 17:20:01
,,NEG,19154,635,2020-04-26 17:20:01
,,NEG,19131,891,2020-04-26 17:20:01
,,NEG,19103,576,2020-04-26 17:20:01
,,POS,19143,563,2020-04-26 17:20:01
,,NEG,19105,10,2020-04-26 17:20:01
,,NEG,19104,764,2020-04-26 17:20:01
,,NEG,19136,504,2020-04-26 17:20:01
,,NEG,19142,492,2020-04-26 17:20:01
,,NEG,19107,607,2020-04-26 17:20:01
,,POS,19130,165,2020-04-26 17:20:01
,,NEG,19116,443,2020-04-26 17:20:01
,,NEG,19141,402,2020-04-26 17:20:01
,,POS,19140,415,2020-04-26 17:20:01
,,POS,19133,207,2020-04-26 17:20:01
,,POS,19152,290,2020-04-26 17:20:01
,,NEG,19150,435,2020-04-26 17:20:01
,,NEG,19137,220,2020-04-26 17:20:01
,,POS,19148,343,2020-04-26 17:20:01
,,POS,19105,5,2020-04-26 17:20:01
,,NEG,19132,663,2020-04-26 17:20:01
,,POS,19101,15,2020-04-26 17:20:01
,,NEG,19145,1153,2020-04-26 17:20:01
,,NEG,19123,429,2020-04-26 17:20:01
,,NEG,19121,565,2020-04-26 17:20:01
,,POS,19128,206,2020-04-26 17:20:01
,,NEG,19129,223,2020-04-26 17:20:01
,,POS,19129,66,2020-04-26 17:20:01
,,NEG,19120,771,2020-04-26 17:20:01
,,POS,19126,270,2020-04-26 17:20:01
,,NEG,19134,783,2020-04-26 17:20:01
,,POS,19151,338,2020-04-26 17:20:01
,,NEG,19119,454,2020-04-26 17:20:01
,,NEG,19148,1147,2020-04-26 17:20:01
,,POS,19114,207,2020-04-26 17:20:01
,,NEG,19127,87,2020-04-26 17:20:01
,,POS,19125,113,2020-04-26 17:20:01
,,NEG,19143,1272,2020-04-26 17:20:01
,,NEG,19151,582,2020-04-26 17:20:01
,,POS,19150,259,2020-04-26 17:20:01
,,POS,19145,329,2020-04-26 17:20:01
,,NEG,19118,170,2020-04-26 17:20:01
,,NEG,19133,315,2020-04-26 17:20:01
,,POS,19132,318,2020-04-26 17:20:01
,,POS,19115,456,2020-04-26 17:20:01
,,POS,19107,97,2020-04-26 17:20:01
,,POS,19118,95,2020-04-26 17:20:01
,,NEG,19138,478,2020-04-26 17:20:01
,,NEG,19126,278,2020-04-26 17:20:01
,,POS,19147,171,2020-04-26 17:20:01
,,POS,19154,192,2020-04-26 17:20:01
,,NEG,19125,408,2020-04-26 17:20:01
,,POS,19119,235,2020-04-26 17:20:01
,,NEG,19146,1185,2020-04-26 17:20:01
,,NEG,19197,8,2020-04-26 17:20:01
,,NEG,19106,245,2020-04-26 17:20:01
,,POS,19134,309,2020-04-26 17:20:01
,,POS,19141,287,2020-04-26 17:20:01
,,NEG,19135,448,2020-04-26 17:20:01
,,POS,19120,541,2020-04-26 17:20:01
,,POS,19146,291,2020-04-26 17:20:01
,,POS,19102,37,2020-04-26 17:20:01
,,NEG,19139,800,2020-04-26 17:20:01
,,POS,19111,515,2020-04-26 17:20:01
,,POS,19106,39,2020-04-26 17:20:01
,,POS,19103,131,2020-04-26 17:20:01
,,NEG,19153,207,2020-04-26 17:20:01
,,POS,19135,194,2020-04-26 17:20:01
,,NEG,19102,136,2020-04-26 17:20:01
,,POS,19123,159,2020-04-26 17:20:01
,,POS,19142,326,2020-04-26 17:20:01
,,NEG,19111,1058,2020-04-26 17:20:01
,,POS,19144,379,2020-04-26 17:20:01
,,NEG,19140,751,2020-04-26 17:20:01
,,POS,19136,411,2020-04-26 17:20:01
,,NEG,19122,384,2020-04-26 17:20:01
,,POS,19127,19,2020-04-26 17:20:01
,,POS,19104,369,2020-04-26 17:20:01
,,NEG,19101,10,2020-04-26 17:20:01
,,POS,19121,232,2020-04-26 17:20:01
,,POS,19131,494,2020-04-26 17:20:01
,,NEG,19149,588,2020-04-26 17:20:01
,,NEG,19124,740,2020-04-26 17:20:01
,,POS,19153,110,2020-04-26 17:20:01
,,POS,19137,25,2020-04-26 17:20:01
,,NEG,19144,680,2020-04-26 17:20:01
,,POS,19116,354,2020-04-26 17:20:01
,,POS,19139,472,2020-04-26 17:20:01
