the_geom,the_geom_webmercator,covid_status,zip_code,count,etl_timestamp
,,POS,19142,519,2020-05-17 17:20:02
,,POS,19140,727,2020-05-17 17:20:02
,,NEG,19113,6,2020-05-17 17:20:02
,,NEG,19102,225,2020-05-17 17:20:02
,,POS,19102,45,2020-05-17 17:20:02
,,NEG,19151,1123,2020-05-17 17:20:02
,,POS,19135,351,2020-05-17 17:20:02
,,NEG,19120,1769,2020-05-17 17:20:02
,,POS,19127,27,2020-05-17 17:20:02
,,POS,19144,657,2020-05-17 17:20:02
,,POS,19104,490,2020-05-17 17:20:02
,,NEG,19147,1339,2020-05-17 17:20:02
,,NEG,19134,1492,2020-05-17 17:20:02
,,NEG,19141,991,2020-05-17 17:20:02
,,NEG,19104,1563,2020-05-17 17:20:02
,,NEG,19116,784,2020-05-17 17:20:02
,,NEG,19126,612,2020-05-17 17:20:02
,,POS,19130,251,2020-05-17 17:20:02
,,POS,19128,279,2020-05-17 17:20:02
,,POS,19139,717,2020-05-17 17:20:02
,,POS,19107,191,2020-05-17 17:20:02
,,POS,19116,514,2020-05-17 17:20:02
,,POS,19120,970,2020-05-17 17:20:02
,,POS,19101,26,2020-05-17 17:20:02
,,POS,19115,645,2020-05-17 17:20:02
,,NEG,19146,1751,2020-05-17 17:20:02
,,NEG,19130,1118,2020-05-17 17:20:02
,,POS,19121,352,2020-05-17 17:20:02
,,POS,19125,174,2020-05-17 17:20:02
,,NEG,19127,148,2020-05-17 17:20:02
,,POS,19103,191,2020-05-17 17:20:02
,,POS,19132,498,2020-05-17 17:20:02
,,NEG,19118,314,2020-05-17 17:20:02
,,POS,19151,497,2020-05-17 17:20:02
,,POS,19143,870,2020-05-17 17:20:02
,,NEG,19149,1110,2020-05-17 17:20:02
,,NEG,19145,1892,2020-05-17 17:20:02
,,NEG,19142,979,2020-05-17 17:20:02
,,NEG,19132,1187,2020-05-17 17:20:02
,,POS,19122,207,2020-05-17 17:20:02
,,NEG,19137,220,2020-05-17 17:20:02
,,POS,19137,39,2020-05-17 17:20:02
,,NEG,19144,1490,2020-05-17 17:20:02
,,POS,19146,394,2020-05-17 17:20:02
,,POS,19133,345,2020-05-17 17:20:02
,,NEG,19125,766,2020-05-17 17:20:02
,,POS,19119,408,2020-05-17 17:20:02
,,NEG,19140,1670,2020-05-17 17:20:02
,,POS,19145,480,2020-05-17 17:20:02
,,NEG,19123,757,2020-05-17 17:20:02
,,NEG,19106,414,2020-05-17 17:20:02
,,NEG,19136,946,2020-05-17 17:20:02
,,NEG,19131,1735,2020-05-17 17:20:02
,,POS,19131,770,2020-05-17 17:20:02
,,NEG,19115,952,2020-05-17 17:20:02
,,NEG,19133,740,2020-05-17 17:20:02
,,POS,19126,448,2020-05-17 17:20:02
,,NEG,19129,414,2020-05-17 17:20:02
,,NEG,19101,23,2020-05-17 17:20:02
,,NEG,19103,762,2020-05-17 17:20:02
,,NEG,19122,689,2020-05-17 17:20:02
,,NEG,19154,862,2020-05-17 17:20:02
,,NEG,19152,920,2020-05-17 17:20:02
,,POS,19124,752,2020-05-17 17:20:02
,,POS,19150,364,2020-05-17 17:20:02
,,POS,19123,252,2020-05-17 17:20:02
,,NEG,19148,1824,2020-05-17 17:20:02
,,NEG,19143,2688,2020-05-17 17:20:02
,,NEG,19114,792,2020-05-17 17:20:02
,,NEG,19138,1114,2020-05-17 17:20:02
,,NEG,19150,876,2020-05-17 17:20:02
,,NEG,19128,981,2020-05-17 17:20:02
,,POS,19118,147,2020-05-17 17:20:02
,,NEG,19107,836,2020-05-17 17:20:02
,,NEG,19119,948,2020-05-17 17:20:02
,,POS,19105,7,2020-05-17 17:20:02
,,POS,19141,461,2020-05-17 17:20:02
,,POS,19136,642,2020-05-17 17:20:02
,,NEG,19153,430,2020-05-17 17:20:02
,,POS,19106,54,2020-05-17 17:20:02
,,POS,19152,503,2020-05-17 17:20:02
,,NEG,19105,13,2020-05-17 17:20:02
,,POS,19153,166,2020-05-17 17:20:02
,,NEG,19135,860,2020-05-17 17:20:02
,,NEG,19139,1967,2020-05-17 17:20:02
,,POS,19138,453,2020-05-17 17:20:02
,,NEG,19121,1091,2020-05-17 17:20:02
,,POS,19129,92,2020-05-17 17:20:02
,,POS,19154,365,2020-05-17 17:20:02
,,NEG,19124,1525,2020-05-17 17:20:02
,,POS,19111,863,2020-05-17 17:20:02
,,POS,19149,610,2020-05-17 17:20:02
,,NEG,19111,1786,2020-05-17 17:20:02
,,POS,19148,581,2020-05-17 17:20:02
,,POS,19134,564,2020-05-17 17:20:02
,,POS,19114,371,2020-05-17 17:20:02
,,POS,19147,270,2020-05-17 17:20:02
,,NEG,19197,8,2020-05-17 17:20:02
