the_geom,the_geom_webmercator,covid_status,zip_code,count,etl_timestamp
,,NEG,19152,756,2020-05-06 19:33:19
,,NEG,19130,1005,2020-05-06 19:33:19
,,NEG,19128,799,2020-05-06 19:33:19
,,POS,19138,394,2020-05-06 19:33:19
,,POS,19122,168,2020-05-06 19:33:19
,,POS,19149,493,2020-05-06 19:33:19
,,NEG,19147,1194,2020-05-06 19:33:19
,,NEG,19114,663,2020-05-06 19:33:19
,,NEG,19115,786,2020-05-06 19:33:19
,,POS,19124,618,2020-05-06 19:33:19
,,NEG,19154,799,2020-05-06 19:33:19
,,NEG,19131,1283,2020-05-06 19:33:19
,,NEG,19103,722,2020-05-06 19:33:19
,,POS,19143,721,2020-05-06 19:33:19
,,NEG,19105,13,2020-05-06 19:33:19
,,NEG,19104,1109,2020-05-06 19:33:19
,,NEG,19136,726,2020-05-06 19:33:19
,,NEG,19142,715,2020-05-06 19:33:19
,,NEG,19107,900,2020-05-06 19:33:19
,,POS,19130,227,2020-05-06 19:33:19
,,NEG,19116,614,2020-05-06 19:33:19
,,NEG,19141,728,2020-05-06 19:33:19
,,POS,19140,599,2020-05-06 19:33:19
,,POS,19133,275,2020-05-06 19:33:19
,,POS,19152,417,2020-05-06 19:33:19
,,NEG,19150,664,2020-05-06 19:33:19
,,NEG,19137,277,2020-05-06 19:33:19
,,POS,19148,475,2020-05-06 19:33:19
,,POS,19105,6,2020-05-06 19:33:19
,,NEG,19132,958,2020-05-06 19:33:19
,,POS,19101,24,2020-05-06 19:33:19
,,NEG,19145,1813,2020-05-06 19:33:19
,,NEG,19123,663,2020-05-06 19:33:19
,,NEG,19121,856,2020-05-06 19:33:19
,,POS,19128,245,2020-05-06 19:33:19
,,NEG,19129,304,2020-05-06 19:33:19
,,POS,19129,80,2020-05-06 19:33:19
,,NEG,19120,1311,2020-05-06 19:33:19
,,POS,19126,410,2020-05-06 19:33:19
,,NEG,19134,1128,2020-05-06 19:33:19
,,POS,19151,422,2020-05-06 19:33:19
,,NEG,19119,722,2020-05-06 19:33:19
,,NEG,19148,1999,2020-05-06 19:33:19
,,POS,19114,308,2020-05-06 19:33:19
,,NEG,19127,113,2020-05-06 19:33:19
,,POS,19125,156,2020-05-06 19:33:19
,,NEG,19143,1856,2020-05-06 19:33:19
,,NEG,19151,805,2020-05-06 19:33:19
,,POS,19150,335,2020-05-06 19:33:19
,,POS,19145,417,2020-05-06 19:33:19
,,NEG,19118,255,2020-05-06 19:33:19
,,NEG,19133,475,2020-05-06 19:33:19
,,POS,19132,434,2020-05-06 19:33:19
,,POS,19115,581,2020-05-06 19:33:19
,,POS,19107,132,2020-05-06 19:33:19
,,POS,19118,146,2020-05-06 19:33:19
,,NEG,19138,820,2020-05-06 19:33:19
,,NEG,19126,461,2020-05-06 19:33:19
,,POS,19147,226,2020-05-06 19:33:19
,,POS,19154,273,2020-05-06 19:33:19
,,NEG,19125,573,2020-05-06 19:33:19
,,POS,19119,344,2020-05-06 19:33:19
,,NEG,19146,1606,2020-05-06 19:33:19
,,NEG,19197,8,2020-05-06 19:33:19
,,NEG,19106,335,2020-05-06 19:33:19
,,POS,19141,392,2020-05-06 19:33:19
,,POS,19134,446,2020-05-06 19:33:19
,,NEG,19135,656,2020-05-06 19:33:19
,,POS,19120,804,2020-05-06 19:33:19
,,POS,19146,360,2020-05-06 19:33:19
,,POS,19102,43,2020-05-06 19:33:19
,,NEG,19139,1146,2020-05-06 19:33:19
,,POS,19111,754,2020-05-06 19:33:19
,,POS,19106,47,2020-05-06 19:33:19
,,POS,19103,163,2020-05-06 19:33:19
,,NEG,19153,345,2020-05-06 19:33:19
,,POS,19135,297,2020-05-06 19:33:19
,,NEG,19102,192,2020-05-06 19:33:19
,,POS,19123,217,2020-05-06 19:33:19
,,POS,19142,436,2020-05-06 19:33:19
,,NEG,19111,1490,2020-05-06 19:33:19
,,POS,19144,572,2020-05-06 19:33:19
,,NEG,19140,1173,2020-05-06 19:33:19
,,POS,19136,555,2020-05-06 19:33:19
,,NEG,19122,531,2020-05-06 19:33:19
,,POS,19127,22,2020-05-06 19:33:19
,,POS,19104,432,2020-05-06 19:33:19
,,NEG,19101,18,2020-05-06 19:33:19
,,POS,19121,304,2020-05-06 19:33:19
,,POS,19131,659,2020-05-06 19:33:19
,,NEG,19149,828,2020-05-06 19:33:19
,,NEG,19124,1095,2020-05-06 19:33:19
,,POS,19153,145,2020-05-06 19:33:19
,,POS,19137,31,2020-05-06 19:33:19
,,NEG,19144,1087,2020-05-06 19:33:19
,,POS,19116,465,2020-05-06 19:33:19
,,POS,19139,621,2020-05-06 19:33:19
