the_geom,the_geom_webmercator,covid_status,zip_code,count,etl_timestamp
,,NEG,19152,717,2020-05-03 17:20:02
,,NEG,19130,951,2020-05-03 17:20:02
,,NEG,19128,750,2020-05-03 17:20:02
,,POS,19138,377,2020-05-03 17:20:02
,,POS,19122,157,2020-05-03 17:20:02
,,POS,19149,455,2020-05-03 17:20:02
,,NEG,19147,1070,2020-05-03 17:20:02
,,NEG,19114,627,2020-05-03 17:20:02
,,NEG,19115,726,2020-05-03 17:20:02
,,POS,19124,573,2020-05-03 17:20:02
,,NEG,19154,762,2020-05-03 17:20:02
,,NEG,19131,1212,2020-05-03 17:20:02
,,NEG,19103,656,2020-05-03 17:20:02
,,POS,19143,694,2020-05-03 17:20:02
,,NEG,19105,11,2020-05-03 17:20:02
,,NEG,19104,1019,2020-05-03 17:20:02
,,NEG,19136,685,2020-05-03 17:20:02
,,NEG,19142,667,2020-05-03 17:20:02
,,NEG,19107,828,2020-05-03 17:20:02
,,POS,19130,215,2020-05-03 17:20:02
,,NEG,19116,581,2020-05-03 17:20:02
,,NEG,19141,664,2020-05-03 17:20:02
,,POS,19140,553,2020-05-03 17:20:02
,,POS,19133,256,2020-05-03 17:20:02
,,POS,19152,391,2020-05-03 17:20:02
,,NEG,19150,615,2020-05-03 17:20:02
,,NEG,19137,260,2020-05-03 17:20:02
,,POS,19148,449,2020-05-03 17:20:02
,,POS,19105,5,2020-05-03 17:20:02
,,NEG,19132,878,2020-05-03 17:20:02
,,POS,19101,23,2020-05-03 17:20:02
,,NEG,19145,1547,2020-05-03 17:20:02
,,NEG,19123,597,2020-05-03 17:20:02
,,NEG,19121,771,2020-05-03 17:20:02
,,POS,19128,226,2020-05-03 17:20:02
,,NEG,19129,289,2020-05-03 17:20:02
,,POS,19129,79,2020-05-03 17:20:02
,,NEG,19120,1179,2020-05-03 17:20:02
,,POS,19126,391,2020-05-03 17:20:02
,,NEG,19134,1031,2020-05-03 17:20:02
,,POS,19151,412,2020-05-03 17:20:02
,,NEG,19119,665,2020-05-03 17:20:02
,,NEG,19148,1725,2020-05-03 17:20:02
,,POS,19114,275,2020-05-03 17:20:02
,,NEG,19127,108,2020-05-03 17:20:02
,,POS,19125,149,2020-05-03 17:20:02
,,NEG,19143,1714,2020-05-03 17:20:02
,,NEG,19151,762,2020-05-03 17:20:02
,,POS,19150,322,2020-05-03 17:20:02
,,POS,19145,404,2020-05-03 17:20:02
,,NEG,19118,234,2020-05-03 17:20:02
,,NEG,19133,433,2020-05-03 17:20:02
,,POS,19132,403,2020-05-03 17:20:02
,,POS,19115,556,2020-05-03 17:20:02
,,POS,19107,125,2020-05-03 17:20:02
,,POS,19118,140,2020-05-03 17:20:02
,,NEG,19126,422,2020-05-03 17:20:02
,,NEG,19138,749,2020-05-03 17:20:02
,,POS,19147,214,2020-05-03 17:20:02
,,POS,19154,251,2020-05-03 17:20:02
,,NEG,19125,530,2020-05-03 17:20:02
,,POS,19119,326,2020-05-03 17:20:02
,,NEG,19146,1484,2020-05-03 17:20:02
,,NEG,19197,8,2020-05-03 17:20:02
,,NEG,19106,314,2020-05-03 17:20:02
,,POS,19141,376,2020-05-03 17:20:02
,,POS,19134,404,2020-05-03 17:20:02
,,NEG,19135,600,2020-05-03 17:20:02
,,POS,19120,762,2020-05-03 17:20:02
,,POS,19146,352,2020-05-03 17:20:02
,,POS,19102,43,2020-05-03 17:20:02
,,NEG,19139,1062,2020-05-03 17:20:02
,,POS,19111,698,2020-05-03 17:20:02
,,POS,19106,43,2020-05-03 17:20:02
,,POS,19103,158,2020-05-03 17:20:02
,,NEG,19153,293,2020-05-03 17:20:02
,,POS,19135,274,2020-05-03 17:20:02
,,NEG,19102,174,2020-05-03 17:20:02
,,POS,19123,211,2020-05-03 17:20:02
,,POS,19142,419,2020-05-03 17:20:02
,,NEG,19111,1335,2020-05-03 17:20:02
,,POS,19144,528,2020-05-03 17:20:02
,,NEG,19140,1064,2020-05-03 17:20:02
,,POS,19136,524,2020-05-03 17:20:02
,,NEG,19122,497,2020-05-03 17:20:02
,,POS,19127,21,2020-05-03 17:20:02
,,POS,19104,418,2020-05-03 17:20:02
,,NEG,19101,17,2020-05-03 17:20:02
,,POS,19121,296,2020-05-03 17:20:02
,,POS,19131,627,2020-05-03 17:20:02
,,NEG,19149,763,2020-05-03 17:20:02
,,NEG,19124,1011,2020-05-03 17:20:02
,,POS,19153,134,2020-05-03 17:20:02
,,POS,19137,30,2020-05-03 17:20:02
,,NEG,19144,1014,2020-05-03 17:20:02
,,POS,19116,439,2020-05-03 17:20:02
,,POS,19139,593,2020-05-03 17:20:02
