the_geom,the_geom_webmercator,covid_status,zip_code,count,etl_timestamp
,,NEG,19152,776,2020-05-09 17:20:01
,,NEG,19130,953,2020-05-09 17:20:01
,,NEG,19128,846,2020-05-09 17:20:01
,,POS,19138,423,2020-05-09 17:20:01
,,POS,19122,179,2020-05-09 17:20:01
,,POS,19149,551,2020-05-09 17:20:01
,,NEG,19147,1088,2020-05-09 17:20:01
,,NEG,19114,702,2020-05-09 17:20:01
,,NEG,19115,842,2020-05-09 17:20:01
,,POS,19124,657,2020-05-09 17:20:01
,,NEG,19154,749,2020-05-09 17:20:01
,,NEG,19131,1450,2020-05-09 17:20:01
,,NEG,19103,626,2020-05-09 17:20:01
,,POS,19143,790,2020-05-09 17:20:01
,,NEG,19105,12,2020-05-09 17:20:01
,,NEG,19104,1238,2020-05-09 17:20:01
,,POS,19142,477,2020-05-09 17:20:01
,,NEG,19111,1534,2020-05-09 17:20:01
,,POS,19144,615,2020-05-09 17:20:01
,,NEG,19140,1345,2020-05-09 17:20:01
,,POS,19136,594,2020-05-09 17:20:01
,,NEG,19122,552,2020-05-09 17:20:01
,,POS,19127,24,2020-05-09 17:20:01
,,POS,19104,447,2020-05-09 17:20:01
,,NEG,19101,19,2020-05-09 17:20:01
,,POS,19121,326,2020-05-09 17:20:01
,,POS,19131,689,2020-05-09 17:20:01
,,NEG,19149,912,2020-05-09 17:20:01
,,NEG,19124,1224,2020-05-09 17:20:01
,,POS,19153,151,2020-05-09 17:20:01
,,POS,19137,33,2020-05-09 17:20:01
,,NEG,19144,1204,2020-05-09 17:20:01
,,POS,19116,484,2020-05-09 17:20:01
,,POS,19139,666,2020-05-09 17:20:01
,,NEG,19136,804,2020-05-09 17:20:01
,,NEG,19142,765,2020-05-09 17:20:01
,,NEG,19107,673,2020-05-09 17:20:01
,,POS,19130,237,2020-05-09 17:20:01
,,NEG,19116,682,2020-05-09 17:20:01
,,NEG,19141,800,2020-05-09 17:20:01
,,POS,19140,643,2020-05-09 17:20:01
,,POS,19133,304,2020-05-09 17:20:01
,,POS,19152,449,2020-05-09 17:20:01
,,NEG,19150,737,2020-05-09 17:20:01
,,NEG,19137,190,2020-05-09 17:20:01
,,POS,19148,526,2020-05-09 17:20:01
,,POS,19105,6,2020-05-09 17:20:01
,,NEG,19132,984,2020-05-09 17:20:01
,,POS,19101,25,2020-05-09 17:20:01
,,NEG,19145,1549,2020-05-09 17:20:01
,,NEG,19123,606,2020-05-09 17:20:01
,,NEG,19121,865,2020-05-09 17:20:01
,,POS,19128,260,2020-05-09 17:20:01
,,NEG,19129,351,2020-05-09 17:20:01
,,POS,19129,87,2020-05-09 17:20:01
,,NEG,19120,1420,2020-05-09 17:20:01
,,POS,19126,432,2020-05-09 17:20:01
,,NEG,19134,1184,2020-05-09 17:20:01
,,POS,19151,447,2020-05-09 17:20:01
,,NEG,19119,782,2020-05-09 17:20:01
,,NEG,19148,1445,2020-05-09 17:20:01
,,POS,19114,329,2020-05-09 17:20:01
,,NEG,19127,118,2020-05-09 17:20:01
,,POS,19125,165,2020-05-09 17:20:01
,,NEG,19143,2116,2020-05-09 17:20:01
,,NEG,19151,895,2020-05-09 17:20:01
,,POS,19150,355,2020-05-09 17:20:01
,,POS,19145,441,2020-05-09 17:20:01
,,NEG,19118,266,2020-05-09 17:20:01
,,NEG,19133,566,2020-05-09 17:20:01
,,POS,19132,463,2020-05-09 17:20:01
,,POS,19115,599,2020-05-09 17:20:01
,,POS,19107,145,2020-05-09 17:20:01
,,POS,19118,145,2020-05-09 17:20:01
,,NEG,19138,930,2020-05-09 17:20:01
,,NEG,19126,505,2020-05-09 17:20:01
,,POS,19147,245,2020-05-09 17:20:01
,,POS,19154,303,2020-05-09 17:20:01
,,NEG,19125,625,2020-05-09 17:20:01
,,POS,19119,384,2020-05-09 17:20:01
,,NEG,19146,1434,2020-05-09 17:20:01
,,NEG,19197,8,2020-05-09 17:20:01
,,NEG,19106,339,2020-05-09 17:20:01
,,POS,19141,420,2020-05-09 17:20:01
,,POS,19134,496,2020-05-09 17:20:01
,,NEG,19135,728,2020-05-09 17:20:01
,,POS,19120,883,2020-05-09 17:20:01
,,POS,19146,371,2020-05-09 17:20:01
,,POS,19102,42,2020-05-09 17:20:01
,,NEG,19139,1373,2020-05-09 17:20:01
,,POS,19111,802,2020-05-09 17:20:01
,,POS,19106,51,2020-05-09 17:20:01
,,POS,19103,171,2020-05-09 17:20:01
,,NEG,19153,365,2020-05-09 17:20:01
,,POS,19135,316,2020-05-09 17:20:01
,,NEG,19102,190,2020-05-09 17:20:01
,,POS,19123,227,2020-05-09 17:20:01
