the_geom,the_geom_webmercator,covid_status,zip_code,count,etl_timestamp
,,NEG,19152,595,2020-04-28 17:20:01
,,NEG,19130,728,2020-04-28 17:20:01
,,NEG,19128,643,2020-04-28 17:20:01
,,POS,19138,316,2020-04-28 17:20:01
,,POS,19122,130,2020-04-28 17:20:01
,,POS,19149,389,2020-04-28 17:20:01
,,NEG,19147,918,2020-04-28 17:20:01
,,NEG,19114,522,2020-04-28 17:20:01
,,NEG,19115,576,2020-04-28 17:20:01
,,POS,19124,486,2020-04-28 17:20:01
,,NEG,19154,662,2020-04-28 17:20:01
,,NEG,19131,964,2020-04-28 17:20:01
,,NEG,19103,590,2020-04-28 17:20:01
,,POS,19143,620,2020-04-28 17:20:01
,,NEG,19105,10,2020-04-28 17:20:01
,,NEG,19104,838,2020-04-28 17:20:01
,,POS,19142,351,2020-04-28 17:20:01
,,NEG,19111,1135,2020-04-28 17:20:01
,,POS,19144,430,2020-04-28 17:20:01
,,NEG,19140,851,2020-04-28 17:20:01
,,POS,19136,452,2020-04-28 17:20:01
,,NEG,19122,407,2020-04-28 17:20:01
,,POS,19127,20,2020-04-28 17:20:01
,,POS,19104,382,2020-04-28 17:20:01
,,NEG,19101,12,2020-04-28 17:20:01
,,POS,19121,254,2020-04-28 17:20:01
,,POS,19131,534,2020-04-28 17:20:01
,,NEG,19149,644,2020-04-28 17:20:01
,,NEG,19124,817,2020-04-28 17:20:01
,,POS,19153,112,2020-04-28 17:20:01
,,NEG,19136,560,2020-04-28 17:20:01
,,NEG,19142,532,2020-04-28 17:20:01
,,NEG,19107,650,2020-04-28 17:20:01
,,POS,19130,175,2020-04-28 17:20:01
,,NEG,19116,474,2020-04-28 17:20:01
,,NEG,19141,462,2020-04-28 17:20:01
,,POS,19140,449,2020-04-28 17:20:01
,,POS,19133,216,2020-04-28 17:20:01
,,POS,19152,316,2020-04-28 17:20:01
,,NEG,19150,482,2020-04-28 17:20:01
,,NEG,19137,230,2020-04-28 17:20:01
,,POS,19148,384,2020-04-28 17:20:01
,,POS,19105,5,2020-04-28 17:20:01
,,NEG,19132,724,2020-04-28 17:20:01
,,POS,19101,18,2020-04-28 17:20:01
,,NEG,19145,1235,2020-04-28 17:20:01
,,NEG,19123,458,2020-04-28 17:20:01
,,NEG,19121,621,2020-04-28 17:20:01
,,POS,19128,223,2020-04-28 17:20:01
,,NEG,19129,243,2020-04-28 17:20:01
,,POS,19129,69,2020-04-28 17:20:01
,,NEG,19120,880,2020-04-28 17:20:01
,,POS,19126,305,2020-04-28 17:20:01
,,NEG,19134,844,2020-04-28 17:20:01
,,POS,19151,358,2020-04-28 17:20:01
,,NEG,19119,509,2020-04-28 17:20:01
,,NEG,19148,1217,2020-04-28 17:20:01
,,POS,19114,225,2020-04-28 17:20:01
,,NEG,19127,92,2020-04-28 17:20:01
,,POS,19125,129,2020-04-28 17:20:01
,,NEG,19143,1389,2020-04-28 17:20:01
,,NEG,19151,639,2020-04-28 17:20:01
,,POS,19150,286,2020-04-28 17:20:01
,,POS,19145,363,2020-04-28 17:20:01
,,NEG,19118,181,2020-04-28 17:20:01
,,NEG,19133,340,2020-04-28 17:20:01
,,POS,19132,346,2020-04-28 17:20:01
,,POS,19115,496,2020-04-28 17:20:01
,,POS,19107,106,2020-04-28 17:20:01
,,POS,19118,104,2020-04-28 17:20:01
,,NEG,19138,548,2020-04-28 17:20:01
,,NEG,19126,313,2020-04-28 17:20:01
,,POS,19147,189,2020-04-28 17:20:01
,,POS,19154,207,2020-04-28 17:20:01
,,NEG,19125,436,2020-04-28 17:20:01
,,POS,19119,258,2020-04-28 17:20:01
,,NEG,19146,1238,2020-04-28 17:20:01
,,NEG,19197,8,2020-04-28 17:20:01
,,NEG,19106,264,2020-04-28 17:20:01
,,POS,19134,332,2020-04-28 17:20:01
,,POS,19141,318,2020-04-28 17:20:01
,,NEG,19135,497,2020-04-28 17:20:01
,,POS,19120,594,2020-04-28 17:20:01
,,POS,19146,307,2020-04-28 17:20:01
,,POS,19102,39,2020-04-28 17:20:01
,,NEG,19139,863,2020-04-28 17:20:01
,,POS,19111,576,2020-04-28 17:20:01
,,POS,19106,41,2020-04-28 17:20:01
,,POS,19103,135,2020-04-28 17:20:01
,,NEG,19153,234,2020-04-28 17:20:01
,,POS,19135,226,2020-04-28 17:20:01
,,NEG,19102,144,2020-04-28 17:20:01
,,POS,19123,175,2020-04-28 17:20:01
,,POS,19137,26,2020-04-28 17:20:01
,,NEG,19144,775,2020-04-28 17:20:01
,,POS,19116,375,2020-04-28 17:20:01
,,POS,19139,527,2020-04-28 17:20:01
