the_geom,the_geom_webmercator,covid_status,zip_code,count,etl_timestamp
,,NEG,19152,783,2020-05-07 17:54:46
,,NEG,19130,1049,2020-05-07 17:54:46
,,NEG,19128,816,2020-05-07 17:54:46
,,POS,19138,403,2020-05-07 17:54:46
,,POS,19122,171,2020-05-07 17:54:46
,,POS,19149,509,2020-05-07 17:54:46
,,NEG,19147,1234,2020-05-07 17:54:46
,,NEG,19114,677,2020-05-07 17:54:46
,,NEG,19115,805,2020-05-07 17:54:46
,,POS,19124,627,2020-05-07 17:54:46
,,NEG,19154,814,2020-05-07 17:54:46
,,NEG,19131,1362,2020-05-07 17:54:46
,,NEG,19103,744,2020-05-07 17:54:46
,,POS,19143,739,2020-05-07 17:54:46
,,NEG,19105,13,2020-05-07 17:54:46
,,NEG,19104,1154,2020-05-07 17:54:46
,,NEG,19136,753,2020-05-07 17:54:46
,,NEG,19142,731,2020-05-07 17:54:46
,,NEG,19107,941,2020-05-07 17:54:46
,,POS,19130,235,2020-05-07 17:54:46
,,NEG,19116,630,2020-05-07 17:54:46
,,NEG,19141,755,2020-05-07 17:54:46
,,POS,19140,607,2020-05-07 17:54:46
,,POS,19133,280,2020-05-07 17:54:46
,,POS,19152,432,2020-05-07 17:54:46
,,NEG,19150,690,2020-05-07 17:54:46
,,NEG,19137,286,2020-05-07 17:54:46
,,POS,19148,497,2020-05-07 17:54:46
,,POS,19105,6,2020-05-07 17:54:46
,,NEG,19132,1005,2020-05-07 17:54:46
,,POS,19101,24,2020-05-07 17:54:46
,,NEG,19145,1887,2020-05-07 17:54:46
,,NEG,19121,960,2020-05-07 17:54:46
,,NEG,19123,766,2020-05-07 17:54:46
,,POS,19128,251,2020-05-07 17:54:46
,,NEG,19129,322,2020-05-07 17:54:46
,,POS,19129,83,2020-05-07 17:54:46
,,NEG,19120,1368,2020-05-07 17:54:46
,,POS,19126,415,2020-05-07 17:54:46
,,NEG,19134,1187,2020-05-07 17:54:46
,,POS,19151,427,2020-05-07 17:54:46
,,NEG,19119,758,2020-05-07 17:54:46
,,NEG,19148,2074,2020-05-07 17:54:46
,,POS,19114,319,2020-05-07 17:54:46
,,NEG,19127,116,2020-05-07 17:54:46
,,POS,19125,160,2020-05-07 17:54:46
,,NEG,19143,1938,2020-05-07 17:54:46
,,NEG,19151,836,2020-05-07 17:54:46
,,POS,19150,344,2020-05-07 17:54:46
,,POS,19145,428,2020-05-07 17:54:46
,,NEG,19118,260,2020-05-07 17:54:46
,,NEG,19133,513,2020-05-07 17:54:46
,,POS,19132,443,2020-05-07 17:54:46
,,POS,19115,585,2020-05-07 17:54:46
,,POS,19107,136,2020-05-07 17:54:46
,,POS,19118,144,2020-05-07 17:54:46
,,NEG,19138,862,2020-05-07 17:54:46
,,NEG,19126,479,2020-05-07 17:54:46
,,POS,19147,233,2020-05-07 17:54:46
,,POS,19154,280,2020-05-07 17:54:46
,,NEG,19125,608,2020-05-07 17:54:46
,,POS,19119,357,2020-05-07 17:54:46
,,NEG,19146,1654,2020-05-07 17:54:46
,,NEG,19197,8,2020-05-07 17:54:46
,,NEG,19106,348,2020-05-07 17:54:46
,,POS,19141,396,2020-05-07 17:54:46
,,POS,19134,469,2020-05-07 17:54:46
,,NEG,19135,680,2020-05-07 17:54:46
,,POS,19120,830,2020-05-07 17:54:46
,,POS,19146,359,2020-05-07 17:54:46
,,POS,19102,43,2020-05-07 17:54:46
,,NEG,19139,1213,2020-05-07 17:54:46
,,POS,19111,763,2020-05-07 17:54:46
,,POS,19106,47,2020-05-07 17:54:46
,,POS,19103,170,2020-05-07 17:54:46
,,NEG,19153,360,2020-05-07 17:54:46
,,POS,19135,300,2020-05-07 17:54:46
,,NEG,19102,199,2020-05-07 17:54:46
,,POS,19123,223,2020-05-07 17:54:46
,,POS,19142,439,2020-05-07 17:54:46
,,NEG,19111,1538,2020-05-07 17:54:46
,,POS,19144,585,2020-05-07 17:54:46
,,NEG,19140,1242,2020-05-07 17:54:46
,,POS,19136,569,2020-05-07 17:54:46
,,NEG,19122,561,2020-05-07 17:54:46
,,POS,19127,22,2020-05-07 17:54:46
,,POS,19104,435,2020-05-07 17:54:46
,,NEG,19101,18,2020-05-07 17:54:46
,,POS,19121,306,2020-05-07 17:54:46
,,POS,19131,671,2020-05-07 17:54:46
,,NEG,19149,855,2020-05-07 17:54:46
,,NEG,19124,1151,2020-05-07 17:54:46
,,POS,19153,147,2020-05-07 17:54:46
,,POS,19137,31,2020-05-07 17:54:46
,,NEG,19144,1137,2020-05-07 17:54:46
,,POS,19116,471,2020-05-07 17:54:46
,,POS,19139,630,2020-05-07 17:54:46
