the_geom,the_geom_webmercator,covid_status,zip_code,count,etl_timestamp
,,NEG,19111,1595,2020-05-11 17:20:01
,,POS,19144,618,2020-05-11 17:20:01
,,NEG,19140,1416,2020-05-11 17:20:01
,,POS,19136,601,2020-05-11 17:20:01
,,NEG,19122,585,2020-05-11 17:20:01
,,POS,19127,25,2020-05-11 17:20:01
,,POS,19104,457,2020-05-11 17:20:01
,,NEG,19101,20,2020-05-11 17:20:01
,,POS,19121,332,2020-05-11 17:20:01
,,POS,19131,709,2020-05-11 17:20:01
,,NEG,19149,958,2020-05-11 17:20:01
,,NEG,19124,1310,2020-05-11 17:20:01
,,POS,19153,157,2020-05-11 17:20:01
,,POS,19137,34,2020-05-11 17:20:01
,,NEG,19144,1271,2020-05-11 17:20:01
,,POS,19116,492,2020-05-11 17:20:01
,,POS,19139,680,2020-05-11 17:20:01
,,NEG,19152,811,2020-05-11 17:20:01
,,NEG,19130,988,2020-05-11 17:20:01
,,NEG,19128,890,2020-05-11 17:20:01
,,POS,19138,431,2020-05-11 17:20:01
,,POS,19122,186,2020-05-11 17:20:01
,,POS,19149,568,2020-05-11 17:20:01
,,NEG,19147,1155,2020-05-11 17:20:01
,,NEG,19114,721,2020-05-11 17:20:01
,,NEG,19115,871,2020-05-11 17:20:01
,,POS,19124,683,2020-05-11 17:20:01
,,NEG,19154,806,2020-05-11 17:20:01
,,NEG,19131,1519,2020-05-11 17:20:01
,,NEG,19103,673,2020-05-11 17:20:01
,,POS,19143,813,2020-05-11 17:20:01
,,NEG,19105,12,2020-05-11 17:20:01
,,NEG,19104,1335,2020-05-11 17:20:01
,,NEG,19136,839,2020-05-11 17:20:01
,,NEG,19142,803,2020-05-11 17:20:01
,,NEG,19107,727,2020-05-11 17:20:01
,,POS,19130,242,2020-05-11 17:20:01
,,NEG,19116,711,2020-05-11 17:20:01
,,NEG,19141,856,2020-05-11 17:20:01
,,POS,19140,663,2020-05-11 17:20:01
,,POS,19133,315,2020-05-11 17:20:01
,,POS,19152,459,2020-05-11 17:20:01
,,NEG,19150,775,2020-05-11 17:20:01
,,NEG,19137,192,2020-05-11 17:20:01
,,POS,19148,538,2020-05-11 17:20:01
,,POS,19105,6,2020-05-11 17:20:01
,,NEG,19132,1029,2020-05-11 17:20:01
,,POS,19101,25,2020-05-11 17:20:01
,,NEG,19145,1629,2020-05-11 17:20:01
,,NEG,19123,637,2020-05-11 17:20:01
,,NEG,19121,926,2020-05-11 17:20:01
,,POS,19128,263,2020-05-11 17:20:01
,,NEG,19129,364,2020-05-11 17:20:01
,,POS,19129,90,2020-05-11 17:20:01
,,NEG,19120,1491,2020-05-11 17:20:01
,,POS,19126,442,2020-05-11 17:20:01
,,NEG,19134,1253,2020-05-11 17:20:01
,,POS,19151,459,2020-05-11 17:20:01
,,NEG,19119,828,2020-05-11 17:20:01
,,NEG,19148,1549,2020-05-11 17:20:01
,,POS,19114,332,2020-05-11 17:20:01
,,NEG,19127,126,2020-05-11 17:20:01
,,POS,19125,165,2020-05-11 17:20:01
,,NEG,19143,2267,2020-05-11 17:20:01
,,NEG,19151,964,2020-05-11 17:20:01
,,POS,19150,339,2020-05-11 17:20:01
,,POS,19145,453,2020-05-11 17:20:01
,,NEG,19118,274,2020-05-11 17:20:01
,,NEG,19133,601,2020-05-11 17:20:01
,,POS,19132,474,2020-05-11 17:20:01
,,POS,19115,610,2020-05-11 17:20:01
,,POS,19107,174,2020-05-11 17:20:01
,,POS,19118,146,2020-05-11 17:20:01
,,NEG,19138,979,2020-05-11 17:20:01
,,NEG,19126,526,2020-05-11 17:20:01
,,POS,19147,252,2020-05-11 17:20:01
,,POS,19154,321,2020-05-11 17:20:01
,,NEG,19125,657,2020-05-11 17:20:01
,,POS,19119,390,2020-05-11 17:20:01
,,NEG,19146,1509,2020-05-11 17:20:01
,,NEG,19197,8,2020-05-11 17:20:01
,,NEG,19106,354,2020-05-11 17:20:01
,,POS,19141,425,2020-05-11 17:20:01
,,POS,19134,511,2020-05-11 17:20:01
,,NEG,19135,761,2020-05-11 17:20:01
,,POS,19120,907,2020-05-11 17:20:01
,,POS,19146,376,2020-05-11 17:20:01
,,POS,19102,43,2020-05-11 17:20:01
,,NEG,19139,1491,2020-05-11 17:20:01
,,POS,19111,821,2020-05-11 17:20:01
,,POS,19106,53,2020-05-11 17:20:01
,,POS,19103,173,2020-05-11 17:20:01
,,NEG,19153,385,2020-05-11 17:20:01
,,POS,19135,325,2020-05-11 17:20:01
,,NEG,19102,195,2020-05-11 17:20:01
,,POS,19123,237,2020-05-11 17:20:01
,,POS,19142,492,2020-05-11 17:20:01
