the_geom,the_geom_webmercator,covid_status,zip_code,count,etl_timestamp
,,NEG,19111,1272,2020-05-01 20:12:24
,,POS,19144,499,2020-05-01 20:12:24
,,NEG,19140,982,2020-05-01 20:12:24
,,POS,19136,500,2020-05-01 20:12:24
,,NEG,19122,474,2020-05-01 20:12:24
,,POS,19127,21,2020-05-01 20:12:24
,,POS,19104,410,2020-05-01 20:12:24
,,NEG,19101,15,2020-05-01 20:12:24
,,POS,19121,284,2020-05-01 20:12:24
,,POS,19131,601,2020-05-01 20:12:24
,,NEG,19149,723,2020-05-01 20:12:24
,,NEG,19124,951,2020-05-01 20:12:24
,,POS,19153,129,2020-05-01 20:12:24
,,POS,19137,29,2020-05-01 20:12:24
,,NEG,19144,936,2020-05-01 20:12:24
,,POS,19116,411,2020-05-01 20:12:24
,,POS,19139,570,2020-05-01 20:12:24
,,NEG,19152,673,2020-05-01 20:12:24
,,NEG,19130,910,2020-05-01 20:12:24
,,NEG,19128,709,2020-05-01 20:12:24
,,POS,19138,365,2020-05-01 20:12:24
,,POS,19122,144,2020-05-01 20:12:24
,,POS,19149,437,2020-05-01 20:12:24
,,NEG,19147,1017,2020-05-01 20:12:24
,,NEG,19114,590,2020-05-01 20:12:24
,,NEG,19115,696,2020-05-01 20:12:24
,,POS,19124,543,2020-05-01 20:12:24
,,NEG,19154,727,2020-05-01 20:12:24
,,NEG,19131,1124,2020-05-01 20:12:24
,,NEG,19103,632,2020-05-01 20:12:24
,,POS,19143,669,2020-05-01 20:12:24
,,NEG,19105,11,2020-05-01 20:12:24
,,NEG,19104,959,2020-05-01 20:12:24
,,NEG,19136,647,2020-05-01 20:12:24
,,NEG,19142,618,2020-05-01 20:12:24
,,NEG,19107,746,2020-05-01 20:12:24
,,POS,19130,213,2020-05-01 20:12:24
,,NEG,19116,517,2020-05-01 20:12:24
,,NEG,19141,591,2020-05-01 20:12:24
,,POS,19140,522,2020-05-01 20:12:24
,,POS,19133,234,2020-05-01 20:12:24
,,POS,19152,372,2020-05-01 20:12:24
,,NEG,19150,581,2020-05-01 20:12:24
,,NEG,19137,247,2020-05-01 20:12:24
,,POS,19148,432,2020-05-01 20:12:24
,,POS,19105,5,2020-05-01 20:12:24
,,NEG,19132,821,2020-05-01 20:12:24
,,POS,19101,22,2020-05-01 20:12:24
,,NEG,19145,1442,2020-05-01 20:12:24
,,NEG,19123,539,2020-05-01 20:12:24
,,NEG,19121,728,2020-05-01 20:12:24
,,POS,19128,216,2020-05-01 20:12:24
,,NEG,19129,272,2020-05-01 20:12:24
,,POS,19129,76,2020-05-01 20:12:24
,,NEG,19120,1053,2020-05-01 20:12:24
,,POS,19126,363,2020-05-01 20:12:24
,,NEG,19134,959,2020-05-01 20:12:24
,,POS,19151,392,2020-05-01 20:12:24
,,NEG,19119,616,2020-05-01 20:12:24
,,NEG,19148,1387,2020-05-01 20:12:24
,,POS,19114,260,2020-05-01 20:12:24
,,NEG,19127,100,2020-05-01 20:12:24
,,POS,19125,143,2020-05-01 20:12:24
,,NEG,19143,1583,2020-05-01 20:12:24
,,NEG,19151,721,2020-05-01 20:12:24
,,POS,19150,324,2020-05-01 20:12:24
,,POS,19145,393,2020-05-01 20:12:24
,,NEG,19118,224,2020-05-01 20:12:24
,,NEG,19133,392,2020-05-01 20:12:24
,,POS,19132,386,2020-05-01 20:12:24
,,POS,19115,536,2020-05-01 20:12:24
,,POS,19107,112,2020-05-01 20:12:24
,,POS,19118,133,2020-05-01 20:12:24
,,NEG,19138,686,2020-05-01 20:12:24
,,NEG,19126,391,2020-05-01 20:12:24
,,POS,19147,206,2020-05-01 20:12:24
,,POS,19154,238,2020-05-01 20:12:24
,,NEG,19125,510,2020-05-01 20:12:24
,,POS,19119,314,2020-05-01 20:12:24
,,NEG,19146,1423,2020-05-01 20:12:24
,,NEG,19197,8,2020-05-01 20:12:24
,,NEG,19106,297,2020-05-01 20:12:24
,,POS,19141,361,2020-05-01 20:12:24
,,POS,19134,385,2020-05-01 20:12:24
,,NEG,19135,565,2020-05-01 20:12:24
,,POS,19120,706,2020-05-01 20:12:24
,,POS,19146,344,2020-05-01 20:12:24
,,POS,19102,41,2020-05-01 20:12:24
,,NEG,19139,998,2020-05-01 20:12:24
,,POS,19111,664,2020-05-01 20:12:24
,,POS,19106,42,2020-05-01 20:12:24
,,POS,19103,152,2020-05-01 20:12:24
,,NEG,19153,269,2020-05-01 20:12:24
,,POS,19135,257,2020-05-01 20:12:24
,,NEG,19102,165,2020-05-01 20:12:24
,,POS,19123,196,2020-05-01 20:12:24
,,POS,19142,405,2020-05-01 20:12:24
